"","employees","salary_2014","salary_2015","raise","got_raise"
"1","Employee 1",48870.8698144183,41143.1327695027,-7727.73704491556,FALSE
"2","Employee 2",32234.5056151971,42414.9415595457,10180.4359443486,TRUE
"3","Employee 3",49475.6382377818,53677.8849130496,4202.24667526782,TRUE
"4","Employee 4",34643.7320346013,50287.1900331229,15643.4579985216,TRUE
"5","Employee 5",40207.2920044884,59405.7532725856,19198.4612680972,TRUE
"6","Employee 6",33061.3585188985,53859.9077425897,20798.5492236912,TRUE
"7","Employee 7",48217.459898442,43448.4222112224,-4769.03768721968,FALSE
"8","Employee 8",42043.4138039127,50964.4882148132,8921.07441090047,TRUE
"9","Employee 9",44654.1329007596,58484.4387741759,13830.3058734164,TRUE
"10","Employee 10",48828.5746518523,48805.5158406496,-23.0588112026453,FALSE
"11","Employee 11",49499.7838325799,41487.5973481685,-8012.18648441136,FALSE
"12","Employee 12",43464.4684568048,40705.1802519709,-2759.28820483387,FALSE
"13","Employee 13",49703.8908768445,58981.1875857413,9277.29670889676,TRUE
"14","Employee 14",33085.8259368688,45307.3792345822,12221.5532977134,TRUE
"15","Employee 15",42657.3224691674,47214.9325534701,4557.61008430272,TRUE
"16","Employee 16",33259.340277873,49587.7376571298,16328.3973792568,TRUE
"17","Employee 17",47653.0600292608,45012.4637316912,-2640.59629756957,FALSE
"18","Employee 18",44139.7904744372,58697.8156026453,14558.0251282081,TRUE
"19","Employee 19",46316.4991466329,53555.73146604,7239.23231940717,TRUE
"20","Employee 20",46644.6549119428,46935.5125911534,290.857679210603,TRUE
"21","Employee 21",36099.4179686531,50440.8688470721,14341.450878419,TRUE
"22","Employee 22",30119.2698255181,51387.1344877407,21267.8646622226,TRUE
"23","Employee 23",39136.5248383954,48873.4073285013,9736.88249010593,TRUE
"24","Employee 24",43760.5220032856,58431.0334408656,14670.51143758,TRUE
"25","Employee 25",30578.6477588117,44094.8128839955,13516.1651251838,TRUE
"26","Employee 26",43874.8527038842,47823.6109716818,3948.75826779753,TRUE
"27","Employee 27",35541.5966687724,44312.9201140255,8771.32344525307,TRUE
"28","Employee 28",48419.555737637,52534.3183195218,4114.76258188486,TRUE
"29","Employee 29",37922.0473812893,40671.5648202226,2749.51743893325,TRUE
"30","Employee 30",36725.6124969572,59009.4134863466,22283.8009893894,TRUE
"31","Employee 31",37429.0562327951,45861.1625479534,8432.10631515831,TRUE
"32","Employee 32",39482.1367366239,56377.3728907108,16895.2361540869,TRUE
"33","Employee 33",30275.8597349748,54055.7445492595,23779.8848142847,TRUE
"34","Employee 34",39139.3537819386,45382.3173325509,6242.96355061233,TRUE
"35","Employee 35",44865.4582258314,54046.7610536143,9181.30282778293,TRUE
"36","Employee 36",42080.1893621683,52021.3454123586,9941.15605019033,TRUE
"37","Employee 37",48631.0638021678,52767.1884838492,4136.12468168139,TRUE
"38","Employee 38",36577.4353640154,54538.7942390516,17961.3588750362,TRUE
